"RNA-seq counts from 3' sequencing, normalized to 10M reads",,,,,,,,,,,,,,,,,
UNIQUD,NAME,LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
NM_001048005,1110017D15Rik,0,17.1005,5.7735,0,0,0.3665,0.0929,0.959,0.8965,0,0,3.3254,17.0594,0.8035,0,0
NM_177993,Hbp1,0,32.7766,5.5128,32.5573,15.3609,15.7568,2.32,2.8402,7.6177,47.4039,30.4452,22.4487,63.9538,19.2951,5.5241,8.53
NM_177185,Ubn2,762.122,699.7128,235.4516,401.3705,495.8807,440.1182,128.5159,130.7538,172.2845,1065.3349,513.5945,583.7156,989.2038,775.9147,292.8094,153.54
NM_207282,Dpp6,0,15.6761,14.4338,0.3789,0,1.4657,0.5568,0.724,0.224,0,0,0,0,0.8035,5.0227,0.948
NM_010588,Jag2,19.294,22.8007,6.6916,14.006,5.937,1.466,0.3713,0.489,0.4479,0,10.5899,0.8315,0,0.8035,0,0
NM_008516,Lrrn1,0,0,1.312,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138944,Pou4f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_199319,Ssxb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_010093,E2f3,684.945,481.6755,158.1312,255.6273,236.7625,186.895,48.4479,31.4943,27.1064,105.9825,47.6471,65.6902,68.2204,427.7864,130.0914,35.068
NM_001164320,Chadl,9.647,0,4.0676,3.786,1.7454,2.9317,0.3713,0.2152,1.792,0,6.6173,0,0,4.0213,0,0
NM_001081419,Dip2a,57.883,32.7777,8.2665,16.6587,8.0312,7.3294,3.2472,7.1613,7.6182,13.9419,14.5594,5.821,12.7946,3.2166,2.009,0.948
NR_102282,Cops5,617.415,386.2002,158.4162,232.8784,267.1351,285.1095,77.1176,48.9191,84.683,331.8697,198.5487,140.5241,247.2926,764.5427,171.2674,61.606
NM_027879,Cdc40,376.237,178.1348,66.4106,129.5005,153.2953,154.2813,53.1715,51.603,85.578,262.1463,132.3693,166.301,294.2026,233.981,45.2005,15.164
NM_023116,Cacnb2,347.296,444.6305,64.6963,173.3903,155.7449,78.4197,10.1147,11.5235,8.9614,8.3645,3.9707,4.9889,17.056,20.0961,2.0086,3.791
NM_201388,Plec,906.828,2327.1678,300.9522,211.6902,337.31,283.2801,100.697,102.4148,226.036,775.3215,583.7426,693.4874,1394.3205,142.3099,13.5591,12.321
NM_007760,Crat,106.118,104.031,38.1912,68.9275,42.2551,59.3669,49.5501,23.4867,42.7875,131.0726,9.2658,11.6417,110.8482,203.4276,786.0336,435.977
