Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
1190007I07RIK,NM_001135569,16.5351488,6.593941621,16.62245932,16.49492969,8.456526547,17.15008661,17.64022064,22.56717148,9.468291084,7.304121731,17.1534453,14.13138316,14.14760639,15.7038722,21.90595175,18.91687782,14.32824572,5.534931383
ITGB1,NM_010578,22.04686507,35.16768865,88.65311635,56.00604035,168.1909169,229.9038637,544.3268084,448.6353691,105.6461952,113.944299,118.514713,78.73199189,127.3284575,135.5186008,86.50042485,132.0862697,115.6795132,149.4431474
GLRX2,NM_001038593,33.07029761,26.37576649,23.0157129,25.31779906,12.21498279,26.88391955,45.36056737,33.39941379,26.90987992,35.05978431,34.3068906,10.09384511,27.11624558,26.17312033,14.60396783,31.86000476,60.05220633,19.92575298
EFS,NM_010112,0,0,0,0,8.456526547,0,5.040063041,0,0,7.304121731,0,0,0,0,2.808455352,4.646250694,0,0
SPINT2,NM_001082548,9.645503469,24.17778594,0.852433811,0.767206032,0.939614061,0,0,4.513434296,0.996662219,0,1.039602746,9.084460603,33.01108158,43.04024232,19.65918747,7.965001189,4.424899414,1.106986277
ALPK2,NM_001037294,0,0,0,0,0,0,0,0,0,0,0,0,8.252770394,1.744874689,0,1.991250297,7.585541852,9.96287649
KLRA18,NM_053153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213972553
TCF3,NM_001164153,11.02343254,19.78182486,25.57301433,19.94735684,25.36957964,19.46766588,6.300078801,40.62090867,49.83311097,78.8845147,41.58410982,44.4129185,11.78967199,6.397873859,21.34426068,8.628751288,22.12449707,22.13972553
PAFAH1B3,NM_008776,34.44822668,6.593941621,28.98274958,41.42912574,142.8213372,41.71642688,7.560094561,58.67464585,35.8798399,45.28555473,53.01974002,53.49737911,175.6661127,162.854971,112.3382141,118.1475176,70.79839062,75.27506681
E2F2,NM_177733,370.662919,235.1839178,242.9436362,270.0565233,4.698070304,1.854063417,0,0.902686859,84.71628864,59.8937982,15.59404118,20.18769023,25.93727838,24.42824564,23.02933389,15.26625228,41.0883517,18.8187667
XBP1,NM_013842,192.9100694,316.5091978,433.036376,402.7831669,410.6113445,539.5324543,457.385721,560.5685396,292.0220303,210.3587059,124.7523295,269.5056645,348.974291,289.0675734,388.1285297,456.6600682,470.9357233,452.7573872
UCK1,NM_011675,6.200680802,6.593941621,16.62245932,11.12448747,15.03382497,13.90547563,6.300078801,2.708060578,21.42823772,4.382473039,9.876226083,10.59853737,8.252770394,11.34168548,9.267902662,10.28812654,6.63734912,0
CASP1,NM_009807,63.38473708,61.54345513,74.16174156,88.2286937,13.15459685,20.39469759,75.60094561,31.59404008,72.75634201,70.11956862,126.831535,113.0510653,20.04244239,40.13211784,33.70146423,33.85125505,67.00561969,106.2706826
KRT78,NM_212487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849798827,21.03273926
GLB1,NM_009752,22.04686507,21.9798054,34.09735244,42.19633177,45.10147492,44.49752201,49.14061465,91.17137279,55.81308428,51.12885212,18.71284942,34.31907339,68.38009755,48.85649129,37.07161065,30.53250456,26.54939648,58.67027266
PDCD6IP,NM_011052,88.18746029,103.3050854,92.0628516,67.51413083,24.42996558,38.00830005,69.30086681,58.67464585,82.72296421,70.11956862,55.09894552,76.71322287,66.02216315,73.28473693,61.22432668,59.73750892,85.96947432,111.8056139
